"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on March 5, 2021","Terry Wilson","yes","-","It’s works!","Definitely would like to purchase another one or two","4","-","-","https://www.amazon.com/gp/customer-reviews/R2U8XI5MRVFOXB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
"Reviewed in the United States on January 31, 2021","E","yes","-","Security","Great vision capabilities for apartment security","5","-","-","https://www.amazon.com/gp/customer-reviews/RRLIMO6RWNAHK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on February 16, 2021","Ronda Fleming","yes","-","I can’t get this camera to work","I have yet been able to get this camera to work","1","-","-","https://www.amazon.com/gp/customer-reviews/RF7CMB6XMXV9W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on December 11, 2020","Wayne C.","yes","-","Didn't stay connected","Worked initially and then wouldn't connect.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1H3702NMAPLPX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on August 25, 2020","J Dick","yes","-","Have to have Wifi","Didn’t know you have to have WiFi to connect the camera 😩😩😫","4","-","-","https://www.amazon.com/gp/customer-reviews/R36H8VLXIEC97W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
"Reviewed in the United States on February 28, 2021","Erin S.","yes","-","Wifi","Con: Won’t support higher than 2.4 wifi","1","-","-","https://www.amazon.com/gp/customer-reviews/R1J7I18CEXSKNO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
"Reviewed in the United States on February 9, 2021","Rahewa Negash","yes","-","Disappointed","Don't waste your money on this.it just work for a month and stop working","1","-","-","https://www.amazon.com/gp/customer-reviews/R2WD3716OJMK3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
"Reviewed in the United States on January 6, 2021","Penny C","yes","-","Easy to use","Night vision was not as great as I expected. Good video quality during the day,  or well lighted room.  This was very easy to install and set up.","4","-","-","https://www.amazon.com/gp/customer-reviews/R1MZ55NXDBKGLB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on December 16, 2020","Gin Gin","yes","-","Buy it","I highly recommend this camera. All of it- night vision and picture quality on point.  It detections from the slightest of motion. So happy to have bought this and wished I did it sooner. App installment is easy too","5","-","-","https://www.amazon.com/gp/customer-reviews/R3VGBWC7V8UW03/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on August 6, 2020","Kristen Martinez","yes","-","Great buy!","Works great! Alerts me within seconds of detection. Just wish i could swivel the camera from my phone.","5","-","-","https://www.amazon.com/gp/customer-reviews/R27YXXG737V48N/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on December 30, 2020","Brenda","yes","-","Great value and great product!","Love love love!  Great value.  I have 2 and love. Super easy to set up!","5","-","-","https://www.amazon.com/gp/customer-reviews/R21PUDJRKZNZ5E/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on July 15, 2020","Irma Cosentino","yes","yes","Great product","Great buy.  I use it for my garage, now I can keep my garage door open and be alerted if any motion is detected.  Easy to mount and set up.","5","-","-","https://www.amazon.com/gp/customer-reviews/R2ZQ3LUNZG0U18/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on February 24, 2021","Niecy","yes","-","Non working camera!","I cannot get it to work!!!","1","-","-","https://www.amazon.com/gp/customer-reviews/R3CF5LOL790LII/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on January 17, 2021","Amy fannin","yes","-","Great little camera!","Great camera, easy to set up!","5","-","-","https://www.amazon.com/gp/customer-reviews/R28LBKOZCE41HG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
